orthosyll,syll,ortho_before,ortho_after,nb_usage
pi,pi,cha,trer,1
jo,Zo,"",jo,2
ment,m@,nam,"",1
ge,Z°,na,rais,4
vé,ve,é,ne,1
cré,kRe,dé,tés,1
chap,Sa,é,pais,1
bels,bEl,ci,"",1
py,pi,co,right,1
sion,zjo,fu,naient,1
bu,by,cul,te,1
tri,tRi,at,qué,1
lieu,lj2,"",te,2
cau,ko,"",seurs,1
re,R°,ba,tiers,1
vien,vj5,de,drait,2
re,R°,er,rons,1
quos,ko,pro,"",1
lu,ly,al,sion,1
rait,RE,cour,"",6
blai,blE,"",sois,1
sons,z§,plai,"",1
lât,la,cu,"",4
ments,m@,paye,"",1
me,m°,som,lier,1
van,v@,"",tai,1
bau,bo,dé,cheurs,1
veil,ve,mer,lée,1
tit,ti,san,"",1
gé,Ze,"",rées,1
lé,le,ne,"",4
rait,RE,paie,"",1
trié,je,s,"",2
pil,pi,grap,lé,1
fil,fil,in,trés,1
ban,b@,dé,daient,1
pu,py,com,teurs,1
va,va,a,chi,4
gri,gRi,cha,naient,1
mi,mi,"",nou,1
pres,spRe,ex,sions,1
riaux,Rjo,pé,"",1
grais,gRE,dé,sez,1
sé,ze,lou,"",1
glez,gle,san,"",1
li,li,hé,treuil,1
ri,Ri,"",vée,1
li,li,a,gné,2
dors,dOR,en,"",1
vé,ve,"",na,1
nir,niR,four,"",1
flet,flE,mou,"",2
con,ko,co,ner,1
li,li,jo,ver,1
frets,fRE,"","",1
ce,pas,in pa,"",1
vant,v@,cur,"",1
co,ko,ra,lant,3
fei,fE,"",gnaient,1
gue,g°,lar,rez,1
sants,s@,pas,"",2
ge,Z°,ju,raient,1
re,R°,pleu,rait,1
va,va,cla,ger,1
lueurs,l89R,pol,"",1
gan,g@,dé,té,1
ca,ka,lo,tions,4
gi,Zi,pa,na,1
mel,mEl,cha,"",1
de,d°,gua,lou,1
lée,le,par,"",2
den,d5,do,dron,1
sé,se,"",bor,1
blai,blE,trou,"",1
tua,t8a,cep,li,1
au,o,"",cun,2
pu,py,é,rant,1
mis,mi,sou,sions,1
meau,mo,gé,"",2
bou,bu,"",ti,6
le,vjOl,vio,"",1
truc,tRyk,des,teurs,3
ha,a,"",lés,1
land,l@d,"",sturm,1
to,to,ma,pées,1
bri,bRi,gé,que,1
fa,fa,"",das,1
tât,ta,cho,"",1
biai,bjE,"",sai,1
gau,go,ri,dons,1
sha,Sa,"",man,1
bri,bRi,a,té,2
ca,ka,cas,dait,1
fa,fa,ef,çait,1
gui,gi,dé,sait,1
fi,fi,graf,té,1
hui,8i,"",pil,1
guis,gi,lan,sons,1
ver,vER,ren,sez,1
ré,Re,no,"",3
si,zi,nuo,té,1
lio,ljO,mé,re,3
blis,bli,no,se,2
tuel,t8El,trac,"",2
ha,a,"",mac,1
vaient,vE,la,"",1
mer,me,mi,"",1
bi,bi,ju,lant,2
len,l@,ra,tît,1
sy,si,for,thias,1
vêts,vE,"","",1
pées,pe,chap,"",3
ton,to,é,ner,1
cre,kR°,"",ver,1
opi,pi,n,née,1
mées,me,bri,"",1
gis,Zi,a,sant,2
am,a,"",mo,7
ti,ti,cap,vés,1
mar,maR,dé,quai,1
ti,ti,fruc,fiant,1
in,5,"",fon,4
cen,s@,li,ciés,3
cour,ku,par,rait,1
chait,SE,tran,"",2
pli,pli,sup,cie,1
sant,s@,his,"",6
soixan,swa,"",tiè,2
pi,pi,ta,ne,3
pid,pid,"",gin,1
nez,ne,lon,"",6
dop,dOp,a,tons,1
bal,ba,dé,lais,1
guée,ge,glin,"",2
al,a,"",louant,1
pa,pa,frap,"",1
gou,gu,"",ra,1
ni,ni,fi,té,4
jar,ZaR,"","",1
nar,naR,"",guais,1
prê,pRe,"",tées,2
sis,sis,nop,"",1
clai,kle,é,rer,1
vo,vo,pro,"",1
mor,mOR,re,qua,1
braye,bREj,"","",1
sur,syR,"",saut,1
déi,de,co,ne,1
ber,be,bom,"",1
fê,fe,"",tée,1
sier,sje,cour,"",1
com,k§,"",pa,66
chait,SE,han,"",1
se,s2,ar,nal,1
vi,vi,"",bu,2
chai,SE,pro,ne,1
ti,ti,lan,ner,1
flé,fle,"",tan,1
gus,gys,dé,tant,1
zar,zaR,lé,daient,1
moud,mud,"",ja,1
ves,vEs,in,ti,16
pin,p5,"",çon,1
tueux,t82,mon,"",1
lés,le,ta,"",2
gour,guR,dé,dir,1
bron,bR§,"",che,6
pen,p@,"",drons,1
pi,pi,"",que,17
si,zi,pré,den,2
née,ne,pli,"",3
coo,ko,al,test,1
cu,ky,bas,lais,1
po,po,im,sât,1
haus,o,re,sait,1
de,d°,tar,ras,1
ti,ti,vol,ge,1
gour,guR,es,dant,1
te,t°,chis,ra,1
tuer,t8e,fec,"",1
mu,my,per,té,1
vi,vi,"",ser,1
cou,ku,ac,dai,1
chue,Sy,ta,"",1
tou,tu,"",pie,1
dor,dOR,"",meur,2
da,da,gar,"",2
mons,m§,hu,"",2
tit,ti,blot,"",1
lu,ly,vo,tions,3
go,go,er,"",1
da,da,gron,"",1
tions,tj§,jec,"",1
sié,sje,as,gea,1
gno,No,i,rez,1
vas,va,la,"",1
nions,nj§,"","",1
té,te,blo,"",1
fées,fe,touf,"",2
neur,n9R,bor,"",1
pro,pRi,ap,priés,1
sa,li,li,ble,2
vants,v@,sa,"",2
mi,mi,"",gno,3
pli,pli,com,quait,1
saient,zE,lou,"",1
pro,pRo,re,chai,1
la,la,sou,geai,1
ex,Ek,"",fo,3
ban,b@,"","",1
dou,du,"",tez,1
cié,sje,gra,"",5
bat,ba,a,tiez,1
ti,ti,pros,tuait,1
rect,REkt,di,"",3
la,la,ve,"",2
veur,v9R,la,"",1
lak,lak,po,"",2
son,so,"",né,2
gé,Ze,sug,rez,1
fé,fe,suif,"",1
quo,ko,"",tas,1
tis,ti,san,sant,1
phie,fi,so,"",1
ca,ka,"",juns,2
four,fuR,"",voyâ,1
tri,tRi,neu,no,1
ni,ni,ter,ser,2
mée,me,al,"",1
ri,Ri,ta,fées,1
sais,sE,mis,"",4
troue,tRu,"","",1
lé,le,al,chés,1
tés,te,beau,"",1
cof,ko,"",frer,1
bées,be,jam,"",2
ter,te,vi,"",6
cris,kRi,ré,"",2
val,val,"",seurs,1
bar,baR,"",maid,1
mar,maR,"",che,12
po,po,"",se,11
char,SaR,dé,née,2
bert,bER,mem,"",1
ga,ga,"",rer,1
bu,by,a,sez,1
li,li,bel,"",1
lons,j§,grail,"",1
im,5,"",plants,1
lo,lo,tel,"",1
nier,nje,ter,"",1
car,ka,"",re,14
va,va,dé,ler,1
gner,Ne,di,"",1
fri,fRi,of,ra,1
lant,l@,rel,"",1
che,S°,ni,rie,1
clées,kle,bâ,"",1
sis,zi,choi,sait,1
fle,fl°,souf,rait,1
ta,ta,"",lés,1
sez,ze,toi,"",1
ge,Z°,ber,rie,1
la,la,nu,tion,2
reurs,R9R,cou,"",2
raient,RE,chi,"",4
pa,pa,"",gaies,2
ce,s°,con,vions,1
four,fuR,"",guais,1
te,j@t,payan,"",1
de,d°,gnar,ront,1
cu,ky,her,léen,2
nants,n@,to,"",1
vez,ve,le,"",6
cruel,kRy,"",le,1
a,a,"",mar,12
saie,sE,es,rait,1
ler,je,gril,"",1
té,te,"",tées,2
blou,blu,"",ser,1
cri,kRi,sous,vez,1
pa,pa,lu,nars,1
vio,tRa,de tra,le,1
seurs,z9R,ly,"",4
ta,ta,can,loups,1
fié,fje,en,vraient,1
soirs,swaR,cen,"",1
cu,ky,sé,tée,2
ju,Zy,in,riant,1
me,m°,a,nais,1
prê,pRE,ap,tais,1
bron,bR§,"",chaient,1
mo,mo,hor,nal,1
te,t°,main,nons,1
bri,bRi,"",sions,1
fes,fE,"",sé,1
te,j@t,seyan,"",2
plé,ple,com,tés,1
taient,tE,rien,"",2
nas,na,cor,"",1
nets,nE,car,"",1
rai,RE,chie,"",1
pul,pyl,ta,tés,1
plées,ple,peu,"",5
riers,Rje,lau,"",1
se,s°,pas,rons,2
ta,ta,cons,ta,3
gouil,gu,gar,la,1
men,m@,fer,tées,1
gno,No,gri,teurs,1
la,la,lu,"",3
nions,nj§,bor,"",1
gries,gRi,bou,"",1
gis,Zi,ru,sant,2
let,jE,feuil,"",1
mé,me,"",fient,1
née,ne,gre,"",3
tâ,ta,"",ter,1
taient,tE,bi,"",3
glin,gl5,dé,guer,1
pré,pRe,im,vi,2
chi,Si,"",liens,2
liez,je,trail,"",1
cof,ko,"",fret,1
cor,kOR,en,dée,1
ser,sER,as,tion,1
neur,n9R,ca,"",4
murs,myR,fé,"",1
mel,mE,ju,le,1
noeu,n9,ma,vré,1
cu,ky,ran,niers,2
flard,flaR,sif,"",1
ver,v9R,no,"",1
clair,klER,"","",2
taient,tE,no,"",4
ras,Ra,cui,se,1
tées,te,goû,"",3
nir,niR,mu,"",3
cho,So,tre,quions,1
lés,le,jo,"",1
rie,Ri,tre,"",5
lents,l@,vio,"",2
che,S°,mo,tés,1
na,na,gê,"",1
es,E,"",sar,1
cing,siG,for,"",1
sé,se,des,che,2
gyp,Zip,"",seux,1
chan,S@,dé,té,1
si,zi,ra,tée,1
gnies,Ni,pa,"",1
pri,pRi,"",mor,3
gol,gOl,per,"",1
rel,RE,que,leurs,2
te,t°,ra,rait,1
tal,tal,é,"",1
ti,ti,"",qué,1
ler,le,tio,"",1
bo,bo,"",bi,4
gions,Zj§,sa,"",2
re,fER,sphè,"",1
che,S°,flan,ra,1
tien,sj5,gyp,"",2
mo,mo,dé,dés,2
vêts,vE,sur,"",1
fon,f§,ren,cer,1
es,e,"",sayâ,1
té,te,ge,"",1
ga,ga,"",gé,2
gués,ge,lo,"",3
va,va,é,sé,2
bâil,ba,tre,lais,1
ni,ni,ma,fold,1
gi,Zi,ri,na,3
su,sy,as,mée,1
tés,te,tâ,"",1
bif,bi,re,fe,1
caf,kaf,"",teurs,1
sels,zEl,die,"",1
le,l°,cè,ments,1
quier,kje,jac,"",1
gle,g9l,sin,"",2
cou,ku,en,rir,1
su,sy,en,qué,1
ge,Z°,"",lons,1
co,ko,ro,co,2
dis,di,si,"",1
sor,sOR,en,cel,1
geaient,ZE,ber,"",2
ras,Ra,"",soies,1
vo,vo,é,luaient,1
çant,s@,sau,"",1
con,k§,"",cou,8
fin,fi,"",nois,2
bou,bu,"",cha,1
pu,py,ré,tait,1
lées,le,ve,"",7
pui,p8i,"",sées,1
trou,tRu,re,vé,1
quié,kje,in,tés,1
fouail,fwa,"",la,1
le,j°,souil,ront,1
cha,Sa,"",meau,1
noeu,n9,ma,vrant,1
gra,gRa,"",cieux,1
pré,pRe,"",mu,5
mir,miR,é,"",1
geais,ZE,ga,"",1
in,5,"",vain,4
pen,p@,"",dit,1
an,a,"",no,9
rait,RE,pier,"",1
ci,si,fas,ne,1
char,SaR,dé,ger,1
tu,ty,cen,plé,1
chés,Se,cher,"",3
clas,kla,dé,sé,3
ber,bER,hi,ner,1
te,t°,tes,ras,2
bat,ba,ra,teurs,1
meu,m2,ra,tais,1
don,dO,re,ne,8
pla,pla,rem,çaient,1
dou,du,"",blés,3
rons,R§,choi,"",1
sait,sE,pas,"",6
mé,me,ré,dia,1
sé,se,"",cré,15
ké,ke,"",pi,1
le,l°,tal,ras,1
vo,vo,ré,quer,1
li,li,po,ner,1
pan,p@,"",dé,2
cif,sif,pon,"",1
ra,Ra,cha,bia,1
teur,t9R,dia,"",4
fa,fa,ef,cer,1
vi,vi,sur,vions,1
pé,pe,tem,ré,3
ceints,s5,"","",1
go,go,"",rets,1
ra,Ra,lio,"",1
tou,tu,"",che,10
ven,v@,tra,tions,1
rais,RE,pa,sait,7
saou,su,"",lant,1
mi,mi,i,tât,1
ra,Ra,"",ma,4
ren,R@,"",con,29
pant,p@,frap,"",2
cou,ku,ac,da,1
cha,Sa,nun,kus,1
poi,pwa,"",ler,1
sant,s@,bos,"",1
por,pOR,com,tés,1
ver,vER,in,sé,1
se,z°,ca,rai,2
sion,zj§,ci,"",9
cor,ko,"",ral,1
ser,sER,"",got,1
le,l°,rou,rais,2
nées,ne,gai,"",2
que,k°,ban,rai,1
chés,Se,flé,"",2
mé,me,nio,trie,1
mais,mE,"","",2
dé,de,"",faits,2
daient,dE,sour,"",1
tu,ty,ven,reux,1
te,t°,ho,ment,1
blai,blE,"",raient,1
seur,z9R,di,"",2
re,Re,se,re,1
mer,me,se,"",2
ap,a,"",port,1
som,s§,"",bré,1
men,m@,dé,tis,2
rant,R@,tou,"",1
sée,ze,chi,"",3
nard,naR,re,"",1
te,t°,goû,rons,1
en,@,"",traî,34
pon,p§,"",til,1
lan,sl@,is,dais,2
cui,k8i,"",sons,1
ga,ga,"",gneur,1
qua,ka,flan,"",1
sta,ta,po,sié,1
nait,nE,jeû,"",1
ge,Z°,lo,rai,1
tes,zalt,exal,"",1
ga,ga,grin,lets,2
dé,de,ci,"",7
de,d°,nan,rie,1
va,va,cal,dos,1
dien,djE,in,ne,1
pro,pRo,"",têts,1
fou,fu,en,rail,3
ex,Eg,"",hu,13
high,aj,"",lan,2
mi,mi,é,grait,1
til,ti,dis,lés,1
ge,Z°,man,rai,1
lon,l§,moel,"",1
ni,ni,re,fle,5
ven,v@,é,treur,1
ai,e,"",lés,2
po,po,sup,sées,2
lam,l@,"",pées,1
rien,Rj5,té,"",4
que,kE,ca,lon,1
bé,be,li,rien,1
men,m@,"",teurs,2
ler,le,miau,"",1
nou,nu,"",gats,1
sen,z@,pré,té,3
dan,d@,"",cing,1
cia,sja,so,bi,2
te,t°,cer,ra,1
dé,de,"",plut,1
frô,fRo,"",ler,1
ri,Ri,pé,té,2
bey,bE,"","",1
ta,ta,"",chyons,1
rions,Rj§,ver,"",4
ré,Re,tor,fac,1
dai,dE,dé,gnaient,1
po,spo,ex,"",1
ter,te,ju,"",1
sec,sek,ter,tions,1
gouil,gu,ma,leur,2
mon,m§,"",trez,1
tre,tR°,en,cho,10
gnaient,NE,pi,"",1
che,S°,fi,ront,1
se,s°,bos,ras,1
ghi,gi,nar,leh,1
tal,tal,fron,"",2
trac,tRak,con,tée,5
prô,pRo,"",nés,1
ne,n°,son,ment,7
ments,m@,tie,"",1
ti,ti,mé,qué,1
grais,gRE,en,se,4
vien,vj5,sou,dras,1
ci,si,dé,deur,1
leux,l2,pi,"",1
é,e,"",vo,55
ciaux,sjo,fa,"",1
glis,gli,"",san,3
fri,fRi,a,ka,2
tu,ty,tec,rant,1
bar,baR,dé,deurs,1
ma,ma,dé,riée,1
la,la,"",sers,1
ti,ti,sep,sée,2
bots,bo,poul,"",1
fui,f8i,"",rais,1
sé,se,"",rieu,1
rir,RiR,cou,"",8
sis,sis,per,té,1
ciant,sj@,pli,"",1
ne,n°,pi,rai,1
fias,fja,ma,"",1
chi,Si,ma,nées,1
nuaient,n8E,té,"",1
ba,ba,"",se,2
cies,si,pré,"",2
né,ne,gé,rées,3
dît,di,"","",1
ment,m@,be,"",3
kir,kiR,"",ghiz,1
re,R°,bé,ras,1
ras,Ra,fle,"",3
ve,v°,mou,men,8
mor,mOR,a,çais,1
net,nEt,"","",3
os,o,"",seux,1
seux,z2,tai,"",1
tour,tuR,"",ments,1
té,te,at,nuait,1
tê,te,en,tée,3
mo,mo,mé,rions,1
uns,1,"","",1
pants,p@,ca,"",2
tats,ta,tes,"",1
somp,z§p,pré,tif,1
la,la,soû,"",1
dé,de,"",plais,1
te,t°,cos,rez,1
dé,de,"",con,107
léo,le,"",pard,1
tur,tyR,mas,bé,1
las,la,pré,sant,1
di,di,"",sants,1
mar,ma,dé,re,5
va,va,nir,nas,1
to,to,qua,rien,1
tiers,tje,ren,"",1
om,§,"",brant,2
raient,RE,bo,"",4
gon,g§,bou,"",1
lés,le,per,"",4
las,ja,bil,"",1
gnais,NE,trai,"",1
mon,m§,é,deur,1
ram,R@,"",pa,1
chi,Si,ar,vons,1
puff,p9f,"","",1
bus,bys,em,qué,3
si,si,con,gner,2
pren,pR@,ap,drait,1
fians,fj@,ruf,"",1
sen,s@,ab,taient,1
mi,mi,"",sait,1
res,RE,ca,sa,1
maient,mE,bî,"",1
tis,ti,lo,se,2
ron,Ro,mou,ner,1
pier,pje,tro,"",1
bi,bi,"",gno,2
gouf,gu,en,fre,4
hi,ni,in,bant,1
la,la,sou,ge,7
dons,d§,ai,"",1
fi,fi,tra,que,1
to,to,au,rail,1
da,da,pé,laient,1
dos,do,en,sé,1
gi,Zi,mar,nal,2
tu,ty,tec,ra,1
che,S°,cro,teurs,1
en,@,"",cal,2
sées,ze,o,"",2
pier,pje,em,ré,2
pait,pE,trou,"",1
dant,d@,si,"",4
wool,swul,lambs,"",1
chât,Sa,ta,"",3
sa,sa,frois,"",2
ce,s°,for,ments,1
tées,te,fé,"",1
dres,dRE,re,sez,1
la,la,vio,bi,1
ma,ma,"",nus,4
che,S°,gâ,rais,1
ce,s°,nan,rons,1
ri,Ri,ché,"",6
gli,gli,né,geai,1
tu,ty,tri,ra,3
sor,sOR,as,tis,6
per,pe,bi,"",1
as,a,"",sauts,1
lé,le,al,gez,1
nants,n@,pre,"",3
fa,fa,jaf,"",1
car,kaR,"",dant,1
lot,lo,cu,tée,5
gè,ZE,lé,re,3
na,na,mi,ret,1
os,O,"",se,4
ter,tER,pa,nels,2
sa,za,pré,ge,1
dil,di,rai,lons,1
va,va,"",cant,1
vrez,vRe,noeu,"",1
ran,R@,ma,ta,1
voï,voj,"",vo,2
for,fOR,"",tui,1
cham,S@,re,pit,1
sion,sjo,fes,nel,4
za,za,"",kous,2
pa,pa,"",pis,1
vées,ve,trou,"",3
tu,ty,struc,rel,1
ran,R@,tou,geau,1
vi,vi,sou,ras,1
gi,Zi,"",ga,4
rants,R@,gé,"",6
le,j°,grouil,ment,1
fon,f§,mor,dais,1
pig,pig,"",ment,1
si,zi,mu,caux,1
veil,syR,sur,lan,1
tant,t@,di,"",5
cher,Se,tron,"",2
gers,Ze,son,"",1
taï,taj,"",ga,1
sé,se,clam,"",1
ron,R§,ar,dies,2
quant,k@,cro,"",4
fiord,fjORd,"","",1
mis,mi,"",si,1
per,pER,"",go,1
fro,fRo,"",men,1
plai,plE,dé,sez,1
ve,v°,par,nues,3
men,m@,"",diez,1
qua,ka,é,ris,2
plo,plo,di,ma,2
gour,guR,en,dir,1
fon,f§,con,dions,1
sui,s8i,pour,vez,1
en,@,"",voie,1
pro,pRO,im,pre,1
go,go,fa,ter,1
nait,nE,ron,"",8
tant,t@,con,"",2
na,na,fae,"",1
sang,s@,"","",1
croa,kRo,mi,na,1
fir,fiR,con,mai,1
re,R°,dai,ment,3
chan,S@,é,geur,1
choirs,SwaR,cra,"",1
nets,nE,con,"",1
mains,m5,hu,"",4
fon,f§,ef,drés,2
ron,Ro,pe,née,2
sant,s@,gaus,"",1
na,na,flâ,"",1
ri,Ri,di,geai,1
cou,ku,tre,pée,2
dium,djOm,la,"",1
an,@,"",crait,1
geur,Z9R,ra,"",1
rots,Ro,ta,"",1
toi,twa,"",lée,1
rel,Re,que,lée,1
chi,Si,"",cot,1
veurs,v9R,ba,"",1
tacts,takt,con,"",1
pins,p5,"","",1
tât,ta,rê,"",1
to,to,bal,"",1
cour,ku,"",rait,1
no,nO,dé,te,1
ce,s°,mor,lées,1
toie,twa,fes,rons,1
mu,my,"",sa,1
nard,naR,pi,"",2
me,m°,cré,rie,1
te,t°,cen,rai,1
don,d§,per,"",1
sons,z§,vi,"",6
fai,fE,"",néan,2
ro,e,aé,mo,2
beau,bo,bar,"",1
di,di,co,fié,1
tants,t@,frou,"",1
lons,j§,grouil,"",1
gni,Ni,li,tés,1
mi,mi,ni,se,1
per,pe,pal,"",1
gnait,NE,fro,"",1
sons,s§,ris,"",10
bil,bi,rha,la,1
nieu,nj2,mo,se,4
quent,k@,fré,"",1
bans,b@,ru,"",1
gni,Ni,si,fi,4
chant,S@,fau,"",1
lis,li,ca,sons,1
fon,f§,"",cés,2
psy,psi,"",chia,1
ha,a,"",ckers,1
pe,p°,rap,lant,1
té,te,flo,"",1
mard,maR,tri,"",1
au,o,"",tos,2
vrés,vRe,ni,"",1
tés,te,pré,"",1
ca,ka,"",rié,1
rons,R§,té,"",1
reau,Ro,poi,tions,1
nio,njo,cra,to,1
tri,tRi,"",chais,1
ter,te,si,"",6
ac,ak,"",ta,1
a,a,"",ro,5
tai,tE,fec,"",1
chop,So,a,pait,1
pai,pE,ram,"",1
trant,tR@,ren,"",2
ai,Re,sur,guë,1
ti,ti,tar,née,1
tié,tje,"",dit,1
can,k@,"",cre,2
sés,se,quis,"",1
traî,tRe,"",née,3
pâ,pa,a,li,1
po,po,tri,tée,2
pa,pa,sym,"",1
sco,ko,le,pait,1
geât,Za,ven,"",1
dait,dE,mon,"",1
men,m@,com,ça,2
te,t°,mi,raient,2
mor,mOR,"",pions,1
dos,do,mo,"",1
se,se,as,nant,1
croo,kRu,"",ners,1
lo,lo,col,quer,1
tour,tuR,dé,"",1
gnez,Ne,sai,"",1
ci,si,li,tât,1
é,e,"",dam,1
cor,kOR,é,ché,3
sant,s@,jouis,"",3
pis,pi,"",sât,1
bail,ba,"",li,1
mu,my,cu,lée,1
car,kaR,"",pac,1
bo,bo,"",ni,14
sul,syl,in,tant,2
ce,s°,ber,rai,1
trin,tR5,"",que,7
suf,sy,in,flé,1
choir,SwaR,é,"",1
ment,m@,pi,"",1
er,E,"",reur,1
é,e,"",meus,2
ha,a,"",lant,1
cri,kRi,trans,vaient,1
pi,pi,é,lo,4
car,ka,"",rant,1
dou,du,dé,blais,1
ta,ta,vi,"",3
con,k§,"",tes,20
la,la,mi,nais,2
quaient,kE,pla,"",1
con,k§,"",tra,39
mu,my,dé,nies,2
plon,pl§,"",giez,1
ta,ta,at,cha,1
ro,Ro,gy,com,1
niens,nj5,ri,"",1
per,pER,"",drais,1
puant,p8@,"","",2
li,li,"",nos,1
naient,nE,chon,"",3
bril,bRi,"",lan,5
dra,dRa,sou,"",2
gen,dZan,mer,cy,1
trant,tR@,en,"",3
her,ER,"",beux,1
gi,sal,coxal,que,1
teur,t9R,dic,"",2
nis,ni,ver,sé,2
dé,de,si,riez,1
quer,ke,ar,"",1
mê,mE,dé,lions,1
fi,fi,dé,lant,1
cais,ke,en,sé,2
brayes,bREj,"","",1
vil,vi,gra,lons,1
bries,bRi,"","",1
gref,gRe,"",fées,2
ver,vER,le,se,9
bran,bR@,"",chies,1
neau,no,an,"",1
tri,tRi,ma,ciel,1
lou,lu,"",per,1
lait,lE,miau,"",1
go,go,"",pak,1
cer,sER,dé,nai,1
vi,vi,de,sé,1
ra,Ra,nar,tif,1
sul,syl,con,té,1
ti,ti,ru,laient,1
ra,Ra,é,flés,1
ment,m@,sar,"",1
son,zo,rai,ner,3
nées,ne,lei,"",1
ba,ba,"",saient,1
ce,s°,fon,ront,3
vaient,vE,pou,"",1
cra,kRa,é,sé,2
fli,fli,af,ger,1
sif,zif,hé,"",2
bes,be,"",son,1
te,t°,coû,ras,1
mi,mi,cul,nait,1
co,ko,bri,tier,1
raf,Ra,"",fi,15
feur,f9R,grif,"",1
te,t°,dé,nu,4
pe,p°,"",sé,1
ti,ti,an,toxi,1
tous,tu,"",sai,1
sau,so,sur,ter,1
su,sy,cen,rez,1
pouil,pu,é,lait,1
lée,le,pou,"",1
viées,vje,con,"",1
geaient,ZE,lan,"",1
plan,pl@,trans,ter,1
cir,siR,cur,"",1
vi,vi,a,vait,1
né,ne,"",groï,2
dis,di,plau,sons,1
nât,na,vi,"",1
cou,ku,dis,rant,1
se,z°,bai,ra,1
le,l°,en,vées,2
ra,Ra,cu,ble,1
tants,t@,bê,"",1
ve,v°,du,té,2
tais,tE,trai,"",2
rée,Re,ma,"",1
tour,tuR,re,nait,1
tro,tRo,es,piée,2
bor,bOR,"",dé,4
tel,tE,tor,li,2
ra,Ra,toie,"",3
tho,to,mé,di,1
ap,a,"",peaux,1
thé,te,nes,siaient,1
ac,a,"",cueils,1
pe,p2,"",sant,2
leux,l2,bi,"",1
ca,ka,re,che,2
tu,ty,na,rels,3
fron,fR§,af,taient,1
teints,t5,at,"",2
gran,gR@,"",die,1
nant,n@,ma,"",2
fa,fa,ef,rou,15
fron,fR§,"",çai,1
mo,mo,im,ti,2
las,la,pa,"",1
col,ko,"",lée,1
meil,mE,som,ler,1
gna,Na,"",gna,1
in,5,"",dia,1
veau,vo,nou,té,1
gra,gRa,"",vit,1
ta,ta,par,geurs,1
rait,RE,saie,"",1
tants,t@,ins,"",2
lon,l§,pro,ga,2
pu,py,ré,gnaient,1
mant,m@,tra,"",1
teur,t9R,lut,"",1
co,ko,é,lier,1
mar,maR,"",ke,1
quo,ko,"",li,2
to,to,fis,lez,1
tu,ty,cap,re,6
sé,se,"",da,3
fé,fe,trans,rez,1
mies,mi,a,"",2
ni,ni,ve,mé,2
lies,li,ci,"",1
noués,nwe,dé,"",1
tra,tRa,da,"",1
tas,ta,se,"",1
grets,gRE,re,"",1
de,d°,plai,ra,1
son,s§,"",gez,1
co,ko,"",pro,8
in,5,"",crus,14
let,lE,to,"",2
teur,t9R,ta,"",23
du,dy,me,"",2
pré,pRe,"",dic,2
chap,Sa,é,pée,3
lait,lE,sa,"",2
gna,Na,si,lant,1
tre,tR°,lus,rai,1
quié,kje,in,tez,1
pen,p@,dis,sée,1
jik,Zik,mou,"",1
feurs,f9R,coif,"",1
me,m°,chô,du,1
grains,gR5,"","",1
pets,pE,cla,"",1
cal,kal,dé,quée,1
nués,n8e,dé,"",2
sen,z@,pré,tant,3
bou,bu,"",geoirs,1
li,li,pé,can,1
ra,Ra,boi,"",1
en,@,"",vo,25
naît,nE,"","",1
fa,fa,pouf,"",1
chait,SE,lé,"",3
dis,dis,"",traient,1
lions,lj§,mê,"",2
bras,bRa,em,seurs,1
ton,to,car,née,1
bour,buR,"",geons,1
al,a,"",lu,42
na,na,"",va,8
dur,dyR,"",ci,3
chais,SE,pê,"",3
rou,Ru,dé,lé,1
pu,py,ré,gne,2
di,di,per,tion,2
trac,tRak,ré,te,2
gro,gRo,"",gnons,2
ri,Ri,"",gueur,1
pi,pi,sou,re,1
té,te,dul,rées,1
four,fuR,"",bie,1
dié,dje,pu,"",1
ar,aR,"",maient,1
bar,baR,"",das,1
mon,m§,dé,ter,1
let,lE,our,"",1
li,li,de,nait,1
ge,Z°,la,ra,1
sal,zal,cau,"",1
té,te,mau,"",1
non,n§,dé,cia,3
gel,ZE,fla,lé,3
nées,ne,gla,"",1
pard,o,léo,s,1
breux,bR2,om,"",1
li,li,de,rium,1
ciat,sja,vi,"",1
me,m°,pro,nons,1
che,S°,man,ron,1
tal,tal,"",quât,1
not,nOt,"","",1
pé,pe,clo,"",3
chas,Sa,"",sées,2
chir,SiR,gau,"",2
ti,ti,vec,vaient,1
gu,gy,fi,rant,5
lieus,lj2,che,"",1
per,p9R,tip,"",1
tin,t5,la,"",4
tons,t§,cap,"",1
bab,bab,na,"",1
lez,je,gril,"",1
ha,a,"",naps,1
si,y,réus,tes,1
chou,Su,"",card,1
nue,ny,dé,ment,1
li,li,ta,sant,4
par,paR,"","",2
ti,ti,fé,cheur,1
ton,to,"",nants,1
tre,tR°,gis,ront,1
riez,Rje,que,"",11
rai,RE,ro,son,1
ci,si,con,liant,3
te,t°,con,ra,2
tés,te,pi,"",6
grais,gRe,en,sée,1
ners,ne,jeu,"",1
faxes,faks,"","",1
ju,Zy,"",gé,3
ri,Ri,mé,ta,1
non,n§,re,cez,1
pa,pa,é,te,4
book,buk,"",ma,2
trés,tRe,let,"",4
ma,ma,"",trio,1
do,do,pré,mi,4
ri,Ri,pu,fiât,1
bu,by,"",toirs,1
ta,ta,li,tif,1
geon,Zo,bour,nant,2
ri,Ri,tu,sés,1
pla,pla,rem,cés,1
si,si,rus,fiant,1
