ortho,phon,cgram
parce que,paRs°k,ADV
parce que,paRs°k,CON
parcellaire,paRselER,ADJ
parcelle,paRsEl,NOM
parcelles,paRsEl,NOM
parchemin,paRS°m5,NOM
parchemineuse,paRS°min2z,ADJ
parchemins,paRS°m5,NOM
parcheminé,paRS°mine,VER
parcheminé,paRS°mine,ADJ
parcheminée,paRS°mine,VER
parcheminée,paRS°mine,ADJ
parcheminées,paRS°mine,VER
parcheminées,paRS°mine,ADJ
parcheminés,paRS°mine,ADJ
parcimonie,paRsimoni,NOM
parcimonieuse,paRsimonj2z,ADJ
parcimonieusement,paRsimonj2z°m@,ADV
parcimonieuses,paRsimonj2z,ADJ
parcimonieux,paRsimonj2,ADJ
parcmètre,paRkmEtR,NOM
parcmètres,paRkmEtR,NOM
parcomètre,paRkomEtR,NOM
parcouraient,paRkuRE,VER
parcourais,paRkuRE,VER
parcourait,paRkuRE,VER
parcourant,paRkuR@,VER
parcoure,paRkuR,VER
parcourent,paRkuR,VER
parcourez,paRkuRe,VER
parcouriez,paRkuRje,VER
parcourions,paRkuRj§,VER
parcourir,paRkuRiR,VER
parcourons,paRkuR§,VER
parcourra,paRkuRa,VER
parcourrai,paRkuRE,VER
parcourraient,paRkuRE,VER
parcourrais,paRkuRE,VER
parcourrait,paRkuRE,VER
parcourrez,paRkuRe,VER
parcourrions,paRkuRj§,VER
parcourront,paRkuR§,VER
parcours,paRkuR,VER
parcours,paRkuR,NOM
parcourt,paRkuR,VER
parcouru,paRkuRy,VER
parcourue,paRkuRy,VER
parcourues,paRkuRy,VER
parcoururent,paRkuRyR,VER
parcourus,paRkuRy,VER
parcourut,paRkuRy,VER
parcourûmes,paRkuRym,VER
parcs,paRk,NOM
pardessus,paRd°sy,NOM
pardi,paRdi,ONO
pardieu,paRdj2,ONO
pardingue,paRd5g,NOM
pardon,paRd§,NOM
pardon,paRd§,ONO
pardonna,paRdona,VER
pardonnable,paRdonabl,ADJ
pardonnaient,paRdonE,VER
pardonnais,paRdonE,VER
pardonnait,paRdonE,VER
pardonnant,paRdon@,VER
pardonne,paRdOn,VER
pardonnent,paRdOn,VER
pardonner,paRdone,VER
pardonnera,paRdOn°Ra,VER
pardonnerai,paRdOn°RE,VER
pardonneraient,paRdOn°RE,VER
pardonnerais,paRdOn°RE,VER
pardonnerait,paRdOn°RE,VER
pardonneras,paRdOn°Ra,VER
pardonnerez,paRdOn°Re,VER
pardonneriez,paRdon°Rje,VER
pardonnerons,paRdOn°R§,VER
pardonneront,paRdOn°R§,VER
pardonnes,paRdOn,VER
pardonnez,paRdone,VER
pardonniez,paRdonje,VER
pardonnions,paRdonj§,VER
pardonnons,paRdon§,VER
pardonnât,paRdona,VER
pardonnèrent,paRdonER,VER
pardonné,paRdone,VER
pardonnée,paRdone,VER
pardonnées,paRdone,VER
pardonnés,paRdone,VER
pardons,paRd§,ADJ
pardons,paRd§,NOM
pare,paR,VER
pare-balle,paRbal,ADJ
pare-balle,paRbal,NOM
pare-balles,paRbal,ADJ
pare-balles,paRbal,NOM
pare-boue,paRbu,NOM
pare-brise,paRbRiz,NOM
pare-brises,paRbRiz,NOM
pare-chocs,paRSOk,NOM
pare-feu,paRf2,NOM
pare-feux,paRf2,NOM
pare-soleil,paRsolEj,NOM
pare-éclats,paRekla,NOM
pare-étincelles,paRet5sEl,NOM
pareil,paREj,ADJ
pareil,paREj,ADV
pareil,paREj,NOM
pareille,paREj,ADJ
pareille,paREj,NOM
pareillement,paREj°m@,ADV
pareilles,paREj,ADJ
pareilles,paREj,NOM
pareils,paREj,ADJ
pareils,paREj,NOM
parement,paR°m@,NOM
parements,paR°m@,NOM
parenchyme,paR@Sim,NOM
parent,paR,VER
parent,paR@,ADJ
parent,paR@,NOM
parentage,paR@taZ,NOM
parental,paR@tal,ADJ
parentale,paR@tal,ADJ
parentales,paR@tal,ADJ
parentaux,paR@to,ADJ
parente,paR@t,ADJ
parente,paR@t,NOM
parentes,paR@t,ADJ
parentes,paR@t,NOM
parenthèse,paR@tEz,NOM
parenthèses,paR@tEz,NOM
parents,paR@,ADJ
parents,paR@,NOM
parentèle,paR@tEl,NOM
parentèles,paR@tEl,NOM
parenté,paR@te,NOM
parentés,paR@te,NOM
parer,paRe,VER
parerai,paR°RE,VER
parerait,paR°RE,VER
paressaient,paREsE,VER
paressais,paREsE,VER
paressait,paREsE,VER
paressant,paREs@,VER
paresse,paREs,NOM
paresse,paREs,VER
paresser,paRese,VER
paresses,paREs,NOM
paresseuse,paREs2z,ADJ
paresseuse,paREs2z,NOM
paresseusement,paREs2z°m@,ADV
paresseuses,paRes2z,ADJ
paresseuses,paRes2z,NOM
paresseux,paREs2,ADJ
paresseux,paREs2,NOM
paressions,paREsj§,VER
paressé,paRese,VER
paresthésie,paREstezi,NOM
pareur,paR9R,NOM
parez,paRe,VER
parfaire,paRfER,VER
parfais,paRfE,VER
parfaisais,paRf°zE,VER
parfaisait,paRf°zE,VER
parfait,paRfE,VER
parfait,paRfE,ADJ
parfait,paRfE,NOM
parfaite,paRfEt,VER
parfaite,paRfEt,ADJ
parfaite,paRfEt,NOM
parfaitement,paRfEt°m@,ADV
parfaites,paRfEt,VER
parfaites,paRfEt,ADJ
parfaites,paRfEt,NOM
parfaits,paRfE,VER
parfaits,paRfE,ADJ
parfaits,paRfE,NOM
parferont,paRf°R§,VER
parfit,paRfi,VER
parfois,paRfwa,ADV
parfum,paRf1,NOM
parfuma,paRfyma,VER
parfumaient,paRfymE,VER
parfumait,paRfymE,VER
parfume,paRfym,VER
parfument,paRfym,VER
parfumer,paRfyme,VER
parfumera,paRfym°Ra,VER
parfumerie,paRfym°Ri,NOM
parfumeries,paRfym°Ri,NOM
parfumeur,paRfym9R,NOM
parfumeurs,paRfym9R,NOM
parfumeuse,paRfym2z,NOM
parfumez,paRfyme,VER
parfums,paRf1,NOM
parfumé,paRfyme,VER
parfumé,paRfyme,ADJ
parfumée,paRfyme,VER
parfumée,paRfyme,ADJ
parfumées,paRfyme,VER
parfumées,paRfyme,ADJ
parfumés,paRfyme,VER
parfumés,paRfyme,ADJ
pari,paRi,NOM
paria,paRja,NOM
paria,paRja,VER
pariade,paRjad,NOM
pariaient,paRjE,VER
pariais,paRjE,VER
pariait,paRjE,VER
pariant,paRj@,VER
parias,paRja,NOM
parie,paRi,VER
parient,paRi,VER
parier,paRje,VER
parierai,paRiRE,VER
parierais,paRiRE,VER
parierait,paRiRE,VER
parieriez,paRiRje,VER
paries,paRi,VER
parieur,paRj9R,NOM
parieurs,paRj9R,NOM
parieuse,paRj2z,NOM
pariez,paRje,VER
parigot,paRigo,ADJ
parigot,paRigo,NOM
parigote,paRigOt,ADJ
parigote,paRigOt,NOM
parigotes,paRigOt,ADJ
parigotes,paRigOt,NOM
parigots,paRigo,ADJ
parigots,paRigo,NOM
parions,paRj§,VER
paris,paRi,NOM
paris-brest,paRibREst,NOM
parisien,paRizj5,ADJ
parisien,paRizj5,NOM
parisienne,paRizjEn,ADJ
parisienne,paRizjEn,NOM
parisiennes,paRizjEn,ADJ
parisiennes,paRizjEn,NOM
parisiens,paRizj5,ADJ
parisiens,paRizj5,NOM
paritaire,paRitER,ADJ
parité,paRite,NOM
parié,paRje,VER
pariétal,paRjetal,ADJ
pariétale,paRjetal,ADJ
pariétaux,paRjeto,ADJ
parjurant,paRZyR@,VER
parjure,paRZyR,NOM
parjure,paRZyR,VER
parjurer,paRZyRe,VER
parjurera,paRZyR°Ra,VER
parjures,paRZyR,NOM
parjures,paRZyR,VER
parjuré,paRZyRe,VER
parjurée,paRZyRe,VER
parka,paRka,NOM
parking,paRkiG,NOM
parkings,paRkiG,NOM
parkinson,paRkinsOn,NOM
parkinsonien,paRkinsonj5,ADJ
parkinsonienne,paRkinsonjEn,ADJ
parkinsoniens,paRkinsonj5,ADJ
parla,paRla,VER
parlai,paRlE,VER
parlaient,paRlE,VER
parlais,paRlE,VER
parlait,paRlE,VER
parlant,paRl@,ADJ
parlant,paRl@,NOM
parlant,paRl@,VER
parlante,paRl@t,ADJ
parlante,paRl@t,NOM
parlantes,paRl@t,ADJ
parlants,paRl@,ADJ
parlas,paRla,VER
parlassent,paRlas,VER
parlasses,paRlas,VER
parle,paRl,VER
parlement,paRl°m@,NOM
parlementaire,paRl°m@tER,ADJ
parlementaire,paRl°m@tER,NOM
parlementaires,paRl°m@tER,ADJ
parlementaires,paRl°m@tER,NOM
parlementait,paRl°m@tE,VER
parlementant,paRl°m@t@,VER
parlementarisme,paRl°m@taRizm,NOM
parlementariste,paRl°m@taRist,ADJ
parlemente,paRl°m@t,VER
parlementent,paRl°m@t,VER
parlementer,paRl°m@te,VER
parlementons,paRl°m@t§,VER
parlements,paRl°m@,NOM
parlementèrent,paRl°m@tER,VER
parlementé,paRl2m@te,VER
parlent,paRl,VER
parler,paRle,ADJ
parler,paRle,NOM
parler,paRle,VER
parlera,paRl°Ra,VER
parlerai,paRl°RE,VER
parleraient,paRl°RE,VER
parlerais,paRl°RE,VER
parlerait,paRl°RE,VER
parleras,paRl°Ra,VER
parlerez,paRl°Re,VER
parlerie,paRl°Ri,NOM
parleriez,paRl°Rje,VER
parlerions,paRl°Rj§,VER
parlerons,paRl°R§,VER
parleront,paRl°R§,VER
parlers,paRle,NOM
parles,paRl,VER
parleur,paRl9R,NOM
parleurs,paRl9R,NOM
parleuse,paRl2z,NOM
parlez,paRle,VER
parliez,paRlje,VER
parlions,paRlj§,VER
parloir,paRlwaR,NOM
parloirs,paRlwaR,NOM
parlons,paRl§,VER
parlophone,paRlOfOn,NOM
parlotaient,paRlotE,VER
parlote,paRlOt,NOM
parloter,paRlote,VER
parlotes,paRlOt,NOM
parlotte,paRlOt,NOM
parlottes,paRlOt,NOM
parlâmes,paRlam,VER
parlât,paRla,VER
parlèrent,paRlER,VER
parlé,paRle,VER
parlé,paRle,ADJ
parlée,paRle,VER
parlée,paRle,ADJ
parlées,paRle,VER
parlées,paRle,ADJ
parlés,paRle,VER
parlés,paRle,ADJ
parme,paRm,ADJ
parmentier,paRm@tje,NOM
parmentures,paRm@tyR,NOM
parmesan,paRm°z@,ADJ
parmesan,paRm°z@,NOM
parmesane,paRm°zan,ADJ
parmesans,paRm°z@,NOM
parmi,paRmi,PRE
parmélies,paRmeli,NOM
parménidien,paRmenidj5,ADJ
parnassienne,paRnasjEn,ADJ
parodiai,paRodjE,VER
parodiait,paRodjE,VER
parodiant,paRodj@,VER
parodie,paRodi,NOM
parodie,paRodi,VER
parodier,paRodje,VER
parodies,paRodi,NOM
parodique,paRodik,ADJ
parodiquement,paRodik°m@,ADV
parodiques,paRodik,ADJ
parodontal,paRod§tal,ADJ
parodontale,paROd§tal,ADJ
paroi,paRwa,NOM
paroir,paRwaR,NOM
paroirs,paRwaR,NOM
parois,paRwa,NOM
paroisse,paRwas,NOM
paroisses,paRwas,NOM
paroissial,paRwasjal,ADJ
paroissiale,paRwasjal,ADJ
paroissiales,paRwasjal,ADJ
paroissiaux,paRwasjo,ADJ
paroissien,paRwasj5,NOM
paroissienne,paRwasjEn,NOM
paroissiennes,paRwasjEn,NOM
paroissiens,paRwasj5,NOM
parole,paROl,NOM
paroles,paROl,NOM
paroli,paRoli,NOM
parolier,paRolje,NOM
parolière,paRoljER,NOM
paronomasie,paRonomazi,NOM
paros,paROs,NOM
parotidienne,paROtidjEn,ADJ
parousie,paRuzi,NOM
paroxysme,paROksizm,NOM
paroxysmes,paROksizm,NOM
paroxysmique,paROksismik,ADJ
paroxysmiques,paROksismik,ADJ
paroxystique,paROksistik,ADJ
paroxystiques,paROksistik,ADJ
parpaillot,paRpajo,NOM
parpaillote,paRpajOt,NOM
parpaillotes,paRpajOt,NOM
parpaing,paRp5,NOM
parpaings,paRp5,NOM
parquait,paRkE,VER
parque,paRk,NOM
parque,paRk,VER
parquent,paRk,VER
parquer,paRke,VER
parquet,paRkE,NOM
parquetage,paRk°taZ,NOM
parqueteur,paRk°t9R,NOM
parqueteuse,paRk2t2z,NOM
parquets,paRkE,NOM
parqueté,paRk°te,VER
parquetée,paRk°te,VER
parquetées,paRk°te,VER
parquez,paRke,VER
parqué,paRke,VER
parquée,paRke,VER
parquée,paRke,ADJ
parquées,paRke,VER
parqués,paRke,VER
parqués,paRke,ADJ
parr,paR,NOM
parrain,paR5,NOM
parrainage,paREnaZ,NOM
parrainait,paREnE,VER
parrainant,paREn@,VER
parraine,paREn,VER
parrainent,paREn,VER
parrainer,paREne,VER
parrainerai,paREn°RE,VER
parraineuse,paREn2z,NOM
parrains,paR5,NOM
parrainé,paREne,VER
parrainée,paREne,VER
parrainés,paREne,VER
parricide,paRisid,ADJ
parricide,paRisid,NOM
parricides,paRisid,ADJ
pars,paR,NOM
pars,paR,VER
parsec,paRsEk,NOM
parsecs,paRsEk,NOM
parsemaient,paRs°mE,VER
parsemant,paRs°m@,VER
parsemer,paRs°me,VER
parsemé,paRs°me,VER
parsemé,paRs°me,ADJ
parsemée,paRs°me,VER
parsemée,paRs°me,ADJ
parsemées,paRs°me,VER
parsemées,paRs°me,ADJ
parsemés,paRs°me,VER
parsi,paRsi,ADJ
parsi,paRsi,NOM
parsis,paRsi,NOM
parsème,paRsEm,VER
parsèment,paRsEm,VER
part,paR,NOM
part,paR,VER
part time,paRtajm,NOM
partage,paRtaZ,NOM
partage,paRtaZ,VER
partagea,paRtaZa,VER
partageable,paRtaZabl,ADJ
partageai,paRtaZE,VER
partageaient,paRtaZE,VER
partageais,paRtaZE,VER
partageait,paRtaZE,VER
partageant,paRtaZ@,ADJ
partageant,paRtaZ@,VER
partagent,paRtaZ,VER
partageons,paRtaZ§,VER
partager,paRtaZe,VER
partagera,paRtaZ°Ra,VER
partagerai,paRtaZ°RE,VER
partageraient,paRtaZ°RE,VER
partagerais,paRtaZ°RE,VER
partagerait,paRtaZ°RE,VER
partageras,paRtaZ°Ra,VER
partagerez,paRtaZ°Re,VER
partageriez,paRtaZ°Rje,VER
partagerions,paRtaZ°Rj§,VER
partagerons,paRtaZ°R§,VER
partageront,paRtaZ°R§,VER
partages,paRtaZ,NOM
partages,paRtaZ,VER
partageur,paRtaZ9R,ADJ
partageurs,paRtaZ9R,ADJ
partageuse,paRtaZ2z,ADJ
partageux,paRtaZ2,NOM
partagez,paRtaZe,VER
partageâmes,paRtaZam,VER
partageât,paRtaZa,VER
partagiez,paRtaZje,VER
partagions,paRtaZj§,VER
partagèrent,paRtaZER,VER
partagé,paRtaZe,VER
partagé,paRtaZe,ADJ
partagée,paRtaZe,VER
partagée,paRtaZe,ADJ
partagées,paRtaZe,VER
partagées,paRtaZe,ADJ
partagés,paRtaZe,VER
partagés,paRtaZe,ADJ
partaient,paRtE,VER
partais,paRtE,VER
partait,paRtE,VER
partance,paRt@s,NOM
partant,paRt@,ADJ
partant,paRt@,NOM
partant,paRt@,VER
partante,paRt@t,ADJ
partantes,paRt@t,ADJ
partants,paRt@,ADJ
partants,paRt@,NOM
parte,paRt,VER
partenaire,paRt°nER,NOM
partenaire-robot,paRt°nERRobo,NOM
partenaires,paRt°nER,NOM
partenariat,paRt°naRja,NOM
partent,paRt,VER
parterre,paRtER,NOM
parterres,paRtER,NOM
partes,paRt,VER
partez,paRte,VER
parthe,paRt,ADJ
parthes,paRt,ADJ
parthique,paRtik,ADJ
parthénogenèse,paRtenoZenEz,NOM
parthénogénèse,paRtenoZenEz,NOM
parthénogénétique,paRtenoZenetik,ADJ
parti,paRti,ADJ
parti,paRti,NOM
parti,paRti,VER
partial,paRsjal,ADJ
partiale,paRsjal,ADJ
partiales,paRsjal,ADJ
partialité,paRsjalite,NOM
partiaux,paRsjo,ADJ
participa,paRtisipa,VER
participai,paRtisipE,VER
participaient,paRtisipE,VER
participais,paRtisipE,VER
participait,paRtisipE,VER
participant,paRtisip@,ADJ
participant,paRtisip@,NOM
participant,paRtisip@,VER
participante,paRtisip@t,ADJ
participante,paRtisip@t,NOM
participantes,paRtisip@t,ADJ
participantes,paRtisip@t,NOM
participants,paRtisip@,ADJ
participants,paRtisip@,NOM
participation,paRtisipasj§,NOM
participations,paRtisipasj§,NOM
participative,paRtisipativ,ADJ
participe,paRtisip,NOM
participe,paRtisip,VER
participent,paRtisip,VER
participer,paRtisipe,VER
participera,paRtisip°Ra,VER
participerai,paRtisip°RE,VER
participeraient,paRtisip°RE,VER
participerais,paRtisip°RE,VER
participerait,paRtisip°RE,VER
participeras,paRtisip°Ra,VER
participerez,paRtisip°Re,VER
participerons,paRtisip°R§,VER
participeront,paRtisip°R§,VER
participes,paRtisip,NOM
participes,paRtisip,VER
participez,paRtisipe,VER
participiez,paRtisipje,VER
participions,paRtisipj§,VER
participons,paRtisip§,VER
participât,paRtisipa,VER
participèrent,paRtisipER,VER
participé,paRtisipe,VER
participés,paRtisipe,VER
particularisme,paRtikylaRizm,NOM
particularismes,paRtikylaRizm,NOM
particularisées,paRtikylaRize,VER
particularité,paRtikylaRite,NOM
particularités,paRtikylaRite,NOM
particule,paRtikyl,NOM
particules,paRtikyl,NOM
particulier,paRtikylje,ADJ
particulier,paRtikylje,NOM
particuliers,paRtikylje,ADJ
particuliers,paRtikylje,NOM
particulière,paRtikyljER,ADJ
particulière,paRtikyljER,NOM
particulièrement,paRtikyljER°m@,ADV
particulières,paRtikyljER,ADJ
particulières,paRtikyljER,NOM
partie,paRti,NOM
partie,paRti,VER
partiel,paRsjEl,ADJ
partiel,paRsjEl,NOM
partielle,paRsjEl,ADJ
partielle,paRsjEl,NOM
partiellement,paRsjEl°m@,ADV
partielles,paRsjEl,ADJ
partielles,paRsjEl,NOM
partiels,paRsjEl,ADJ
partiels,paRsjEl,NOM
parties,paRti,NOM
parties,paRti,VER
partiez,paRtje,VER
partions,paRtj§,VER
partir,paRtiR,VER
partira,paRtiRa,VER
partirai,paRtiRE,VER
partiraient,paRtiRE,VER
partirais,paRtiRE,VER
partirait,paRtiRE,VER
partiras,paRtiRa,VER
partirent,paRtiR,VER
partirez,paRtiRe,VER
partiriez,paRtiRje,VER
partirions,paRtiRj§,VER
partirons,paRtiR§,VER
partiront,paRtiR§,VER
partis,paRti,ADJ
partis,paRti,NOM
partis,paRti,VER
partisan,paRtiz@,ADJ
partisan,paRtiz@,NOM
partisane,paRtizan,ADJ
partisane,paRtizan,NOM
partisanes,paRtizan,ADJ
partisans,paRtiz@,ADJ
partisans,paRtiz@,NOM
partisse,paRtis,VER
partissent,paRtis,VER
partit,paRti,VER
partita,paRtita,NOM
partitas,paRtita,NOM
partitif,paRtitif,ADJ
partition,paRtisj§,NOM
partitions,paRtisj§,NOM
partner,paRtnER,NOM
partons,paRt§,VER
partouse,paRtuz,NOM
partouser,paRtuze,VER
partout,paRtu,ADV
partouzait,paRtuzE,VER
partouzarde,paRtuzaRd,ADJ
partouzardes,paRtuzaRd,ADJ
partouzards,paRtuzaR,ADJ
partouzards,paRtuzaR,NOM
partouze,paRtuz,NOM
partouzent,paRtuz,VER
partouzer,paRtuze,VER
partouzes,paRtuz,NOM
partouzeur,paRtuz9R,NOM
partouzeurs,paRtuz9R,NOM
parts,paR,NOM
parturiente,paRtyRj@t,NOM
parturientes,paRtyRj@t,NOM
parturition,paRtyRisj§,NOM
parturitions,paRtyRisj§,NOM
party,paRti,NOM
partîmes,paRtim,VER
partît,paRti,VER
paru,paRy,VER
parue,paRy,VER
parure,paRyR,NOM
parurent,paRyR,VER
parures,paRyR,NOM
parus,paRy,VER
parussent,paRys,VER
parut,paRy,VER
parution,paRysj§,NOM
parvenaient,paRv°nE,VER
parvenais,paRv°nE,VER
parvenait,paRv°nE,VER
parvenant,paRv°n@,VER
parvenez,paRv°ne,VER
parveniez,paRv°nje,VER
parvenions,paRv°nj§,VER
parvenir,paRv°niR,VER
parvenons,paRv°n§,VER
parvenu,paRv°ny,VER
parvenu,paRv°ny,ADJ
parvenu,paRv°ny,NOM
parvenue,paRv°ny,VER
parvenue,paRv°ny,ADJ
parvenue,paRv°ny,NOM
parvenues,paRv°ny,VER
parvenues,paRv°ny,ADJ
parvenues,paRv°ny,NOM
parvenus,paRv°ny,VER
parvenus,paRv°ny,ADJ
parvenus,paRv°ny,NOM
parviendra,paRvj5dRa,VER
parviendrai,paRvj5dRE,VER
parviendraient,paRvj5dRE,VER
parviendrais,paRvj5dRE,VER
parviendrait,paRvj5dRE,VER
parviendras,paRvj5dRa,VER
parviendrez,paRvj5dRe,VER
parviendrions,paRvj5dRij§,VER
parviendrons,paRvj5dR§,VER
parviendront,paRvj5dR§,VER
parvienne,paRvjEn,VER
parviennent,paRvjEn,VER
parviens,paRvj5,VER
parvient,paRvj5,VER
parvinrent,paRv5R,VER
parvins,paRv5,VER
parvinssent,paRv5s,VER
parvint,paRv5,VER
parvis,paRvi,NOM
parvînmes,paRv5m,VER
parvînt,paRv5,VER
parâtre,paRatR,NOM
paré,paRe,VER
paré,paRe,ADJ
parée,paRe,VER
parée,paRe,ADJ
parées,paRe,VER
parées,paRe,ADJ
parégorique,paRegoRik,ADJ
paréo,paReo,NOM
paréos,paReo,NOM
parés,paRe,VER
parés,paRe,ADJ
parésie,paRezi,NOM
parût,paRy,VER
pas,pa,ADV
pas,pa,NOM
pas-de-porte,padpORt,NOM
pas-je,paZ2,ADV
pascal,paskal,ADJ
pascal,paskal,NOM
pascale,paskal,ADJ
pascales,paskal,ADJ
pascalien,paskalj5,ADJ
pascaliennes,paskaljEn,ADJ
pascaliens,paskalj5,ADJ
paseo,paseo,NOM
pasionaria,pazjonaRja,NOM
pasionarias,pazjonaRja,NOM
paso,pazo,NOM
paso doble,pazodObl,NOM
paso-doble,pasodOble,NOM
pasos,pazo,NOM
pasque,pask,ADV
pasque,pask,CON
pasquins,pask5,NOM
passa,pasa,VER
passable,pasabl,ADJ
passablement,pasabl°m@,ADV
passables,pasabl,ADJ
passade,pasad,NOM
passades,pasad,NOM
passage,pasaZ,NOM
passager,pasaZe,ADJ
passager,pasaZe,NOM
passagers,pasaZe,ADJ
passagers,pasaZe,NOM
passages,pasaZ,NOM
passagère,pasaZER,ADJ
passagère,pasaZER,NOM
passagèrement,pasaZER°m@,ADV
passagères,pasaZER,ADJ
passagères,pasaZER,NOM
passai,pasE,VER
passaient,pasE,VER
passais,pasE,VER
passait,pasE,VER
passant,pas@,ADJ
passant,pas@,NOM
passant,pas@,VER
passante,pas@t,ADJ
passante,pas@t,NOM
passantes,pas@t,ADJ
passantes,pas@t,NOM
passants,pas@,ADJ
passants,pas@,NOM
passas,pasa,VER
passation,pasasj§,NOM
passavant,pasav@,NOM
passe,pas,NOM
passe,pas,VER
passe-boule,pasbul,NOM
passe-boules,pasbul,NOM
passe-crassane,paskRasan,NOM
passe-droit,pasdRwa,NOM
passe-droits,pasdRwa,NOM
passe-la-moi,paslamwa,NOM
passe-lacet,paslasE,NOM
passe-lacets,paslasE,NOM
passe-montagne,pasm§taN,NOM
passe-montagnes,pasm§taN,NOM
passe-muraille,pasmyRaj,NOM
passe-partout,paspaRtu,NOM
passe-passe,paspas,NOM
passe-pied,paspje,NOM
passe-plat,paspla,NOM
passe-roses,pasRoz,NOM
passe-temps,past@,NOM
passement,pas°m@,NOM
passementaient,pas°m@tE,VER
passementent,pas°m@t,VER
passementerie,pas°m@t°Ri,NOM
passementeries,pas°m@t°Ri,NOM
passementier,pas°m@tje,NOM
passementière,pas°m@tjER,NOM
passementé,pas°m@te,VER
passent,pas,VER
passepoil,paspwal,NOM
passeport,paspOR,NOM
passeports,paspOR,NOM
passer,pase,VER
passer,pase,VER
passera,pas°Ra,VER
passerai,pas°RE,VER
passeraient,pas°RE,VER
passerais,pas°RE,VER
passerait,pas°RE,VER
passeras,pas°Ra,VER
passereau,pas°Ro,NOM
passereaux,pas°Ro,NOM
passerelle,pas°REl,NOM
passerelles,pas°REl,NOM
passerez,pas°Re,VER
passeriez,pas°Rje,VER
passerions,pas°Rj§,VER
passerons,pas°R§,VER
passeront,pas°R§,VER
passeroses,pas°Roz,NOM
passes,pas,NOM
passes,pas,VER
passeur,pas9R,NOM
passeurs,pas9R,NOM
passeuse,pas2z,NOM
passez,pase,VER
passible,pasibl,ADJ
passibles,pasibl,ADJ
passiez,pasje,VER
passif,pasif,ADJ
passif,pasif,NOM
passiflore,pasiflOR,NOM
passifs,pasif,ADJ
passifs,pasif,NOM
passim,pasim,ADV
passing,pasiG,NOM
passion,pasj§,NOM
passionna,pasjona,VER
passionnai,pasjonE,VER
passionnaient,pasjonE,VER
passionnais,pasjonE,VER
passionnait,pasjonE,VER
passionnant,pasjon@,ADJ
passionnant,pasjon@,VER
passionnante,pasjon@t,ADJ
passionnantes,pasjon@t,ADJ
passionnants,pasjon@,ADJ
passionne,pasjOn,VER
passionnel,pasjonEl,ADJ
passionnelle,pasjonEl,ADJ
passionnellement,pasjonEl°m@,ADV
passionnelles,pasjonEl,ADJ
passionnels,pasjonEl,ADJ
passionnent,pasjOn,VER
passionner,pasjone,VER
passionnera,pasjOn°Ra,VER
passionnerait,pasjOn°RE,VER
passionneras,pasjOn°Ra,VER
passionnons,pasjon§,VER
passionnèrent,pasjonER,VER
passionné,pasjone,VER
passionné,pasjone,ADJ
passionné,pasjone,NOM
passionnée,pasjone,VER
passionnée,pasjone,ADJ
passionnées,pasjone,VER
passionnées,pasjone,ADJ
passionnément,pasjonem@,ADV
passionnés,pasjone,VER
passionnés,pasjone,ADJ
passionnés,pasjone,NOM
passions,pasj§,VER
passions,pasj§,NOM
passive,pasiv,ADJ
passive,pasiv,VER
passivement,pasiv°m@,ADV
passiver,pasive,VER
passives,pasiv,ADJ
passiveté,pasiv°te,NOM
passivité,pasivite,NOM
passoire,paswaR,NOM
passoires,paswaR,NOM
passons,pas§,VER
passâmes,pasam,VER
passât,pasa,VER
passâtes,pasat,VER
passèrent,pasER,VER
passé,pase,VER
passé,pase,ADJ
passé,pase,ADV
passé,pase,NOM
passée,pase,VER
passée,pase,ADJ
passées,pase,VER
passées,pase,ADJ
passéiste,paseist,ADJ
passés,pase,VER
passés,pase,ADJ
passés,pase,NOM
past,past,NOM
pastaga,pastaga,NOM
pastagas,pastaga,NOM
pastel,pastEl,ADJ
pastel,pastEl,NOM
pastels,pastEl,NOM
pastenague,past2nag,NOM
pasteur,past9R,NOM
pasteurella,past2REla,NOM
pasteurisation,past9Rizasj§,NOM
pasteuriser,past9Rize,VER
pasteurisé,past9Rize,ADJ
pasteurisée,past9Rize,ADJ
pasteurisés,past9Rize,ADJ
pasteurs,past9R,NOM
pasticha,pastiSa,VER
pastichai,pastiSE,VER
pastichait,pastiSE,VER
pastiche,pastiS,NOM
pasticher,pastiSe,VER
pastiches,pastiS,NOM
pasticheur,pastiS9R,NOM
pastiché,pastiSe,VER
pastille,pastij,NOM
pastiller,pastije,VER
pastilles,pastij,NOM
pastis,pastis,NOM
pastophore,pastofOR,NOM
pastoral,pastoRal,ADJ
pastorale,pastoRal,ADJ
pastorale,pastoRal,NOM
pastorales,pastoRal,ADJ
pastorales,pastoRal,NOM
pastoraux,pastoRo,ADJ
pastour,pastuR,NOM
pastoureau,pastuRo,NOM
pastoureaux,pastuRo,NOM
pastourelle,pastuREl,NOM
pastourelles,pastuREl,NOM
pastèque,pastEk,NOM
pastèques,pastEk,NOM
pat,pat,ADJ
pat,pat,NOM
patache,pataS,NOM
patachon,pataS§,NOM
patafiole,patafjOl,VER
patagon,patag§,ADJ
patagonien,patagonj5,ADJ
patagons,patag§,NOM
patapouf,patapuf,NOM
patapouf,patapuf,ONO
patapoufs,patapuf,NOM
pataquès,patakEs,NOM
patarin,pataR5,NOM
patata,patata,ONO
patate,patat,NOM
patates,patat,NOM
patati,patati,ONO
patatras,patatRa,ONO
pataud,pato,ADJ
pataud,pato,NOM
pataude,patod,ADJ
pataudes,patod,ADJ
